example_id                                                                  | status | run_time        |
./spec/better_service/concerns/messageable_spec.rb[1:2:2]                   | passed | 0.00023 seconds |
./spec/better_service/concerns/messageable_spec.rb[1:2:3]                   | passed | 0.00026 seconds |
./spec/better_service/concerns/messageable_spec.rb[1:3:1]                   | passed | 0.00038 seconds |
./spec/better_service/concerns/messageable_spec.rb[1:3:2]                   | passed | 0.00032 seconds |
./spec/better_service/concerns/messageable_spec.rb[1:3:3]                   | passed | 0.00024 seconds |
./spec/better_service/concerns/messageable_spec.rb[1:3:4]                   | passed | 0.00028 seconds |
./spec/better_service/concerns/messageable_spec.rb[1:3:5]                   | passed | 0.00026 seconds |
./spec/better_service/concerns/presentable_spec.rb[1:1:1]                   | passed | 0.00021 seconds |
./spec/better_service/concerns/presentable_spec.rb[1:1:2]                   | passed | 0.00021 seconds |
./spec/better_service/concerns/presentable_spec.rb[1:1:3]                   | passed | 0.00021 seconds |
./spec/better_service/concerns/presentable_spec.rb[1:1:4]                   | passed | 0.00027 seconds |
./spec/better_service/concerns/presentable_spec.rb[1:2:1]                   | passed | 0.00025 seconds |
./spec/better_service/concerns/presentable_spec.rb[1:2:2]                   | passed | 0.00023 seconds |
./spec/better_service/concerns/presentable_spec.rb[1:2:3]                   | passed | 0.00026 seconds |
./spec/better_service/concerns/presentable_spec.rb[1:2:4]                   | passed | 0.00024 seconds |
./spec/better_service/concerns/presentable_spec.rb[1:2:5]                   | passed | 0.00024 seconds |
./spec/better_service/concerns/presentable_spec.rb[1:3:1]                   | passed | 0.00026 seconds |
./spec/better_service/concerns/presentable_spec.rb[1:3:2]                   | passed | 0.00025 seconds |
./spec/better_service/concerns/presentable_spec.rb[1:3:3]                   | passed | 0.00025 seconds |
./spec/better_service/concerns/presentable_spec.rb[1:3:4]                   | passed | 0.00024 seconds |
./spec/better_service/concerns/presentable_spec.rb[1:4:1]                   | passed | 0.00024 seconds |
./spec/better_service/concerns/presentable_spec.rb[1:4:2]                   | passed | 0.00033 seconds |
./spec/better_service/concerns/presentable_spec.rb[1:4:3]                   | passed | 0.00028 seconds |
./spec/better_service/concerns/presentable_spec.rb[1:4:4]                   | passed | 0.00029 seconds |
./spec/better_service/concerns/presentable_spec.rb[1:4:5]                   | passed | 0.00041 seconds |
./spec/better_service/concerns/presentable_spec.rb[1:4:6]                   | passed | 0.00104 seconds |
./spec/better_service/concerns/presentable_spec.rb[1:4:7]                   | passed | 0.0003 seconds  |
./spec/better_service/concerns/repository_aware_spec.rb[1:1:1]              | passed | 0.00022 seconds |
./spec/better_service/concerns/repository_aware_spec.rb[1:1:2]              | passed | 0.00024 seconds |
./spec/better_service/concerns/repository_aware_spec.rb[1:1:3]              | passed | 0.00021 seconds |
./spec/better_service/concerns/repository_aware_spec.rb[1:1:4]              | passed | 0.00022 seconds |
./spec/better_service/concerns/repository_aware_spec.rb[1:1:5]              | passed | 0.00023 seconds |
./spec/better_service/concerns/repository_aware_spec.rb[1:2:1]              | passed | 0.00022 seconds |
./spec/better_service/concerns/repository_aware_spec.rb[1:2:2]              | passed | 0.00024 seconds |
./spec/better_service/concerns/repository_aware_spec.rb[1:2:3]              | passed | 0.00022 seconds |
./spec/better_service/concerns/repository_aware_spec.rb[1:3:1]              | passed | 0.00022 seconds |
./spec/better_service/concerns/repository_aware_spec.rb[1:3:2]              | passed | 0.00023 seconds |
./spec/better_service/concerns/repository_aware_spec.rb[1:3:3]              | passed | 0.0003 seconds  |
./spec/better_service/concerns/repository_aware_spec.rb[1:4:1]              | passed | 0.00038 seconds |
./spec/better_service/concerns/repository_aware_spec.rb[1:4:2]              | passed | 0.00092 seconds |
./spec/better_service/concerns/repository_aware_spec.rb[1:4:3]              | passed | 0.00034 seconds |
./spec/better_service/concerns/repository_aware_spec.rb[1:5:1]              | passed | 0.00036 seconds |
./spec/better_service/concerns/repository_aware_spec.rb[1:5:2]              | passed | 0.00034 seconds |
./spec/better_service/concerns/repository_aware_spec.rb[1:5:3]              | passed | 0.00024 seconds |
./spec/better_service/concerns/validatable_spec.rb[1:1:1]                   | passed | 0.00068 seconds |
./spec/better_service/concerns/validatable_spec.rb[1:1:2]                   | passed | 0.00085 seconds |
./spec/better_service/concerns/validatable_spec.rb[1:1:3]                   | passed | 0.00022 seconds |
./spec/better_service/concerns/validatable_spec.rb[1:2:1]                   | passed | 0.0012 seconds  |
./spec/better_service/concerns/validatable_spec.rb[1:2:2]                   | passed | 0.00096 seconds |
./spec/better_service/concerns/validatable_spec.rb[1:2:3]                   | passed | 0.00156 seconds |
./spec/better_service/concerns/validatable_spec.rb[1:2:4]                   | passed | 0.00071 seconds |
./spec/better_service/concerns/validatable_spec.rb[1:3:1]                   | passed | 0.00104 seconds |
./spec/better_service/concerns/validatable_spec.rb[1:3:2]                   | passed | 0.00304 seconds |
./spec/better_service/concerns/validatable_spec.rb[1:3:3]                   | passed | 0.00103 seconds |
./spec/better_service/concerns/validatable_spec.rb[1:4:1]                   | passed | 0.00095 seconds |
./spec/better_service/concerns/validatable_spec.rb[1:4:2]                   | passed | 0.00058 seconds |
